id,fbrefURL,flashscoreURL,transfermarktURL1,transfermarktURL2
Argentina1,21,,,
Australia1,65,,,
Austria1,56,,,
Belgium1,37,,,
Brazil1,24,,,
China1,62,,,
Columbia1,41,,,
Croatia1,63,,,
Denmark1,50,,,
England1,9,england/premier-league,premier-league,GB1
England2,10,,,
England3,15,,,
France1,13,france/ligue-1,ligue-1,FR1
France2,60,,,
Germany1,20,germany/bundesliga,bundesliga,L1
Germany2,33,,,
Greece1,27,,,
Italy1,11,italy/serie-a,serie-a,IT1
Italy2,18,,,
Japan1,25,,,
Mexico1,31,,,
Netherlands1,23,netherlands/eredivisie,eredivisie,NL1
Norway1,28,,,
Portugal1,32,portugal/liga-portugal,liga-portugal,PO1
Russia1,30,,,
Saudi1,70,,,
Scotland1,40,,,
SKorea1,55,,,
Spain1,12,spain/laliga,primera-division,ES1
Spain2,17,,,
Sweden1,29,,,
Switzerland1,57,,,
Turkey1,26,,,
Ukraine1,39,,,
USA1,22,,,
,,,,
